Abs(f18) "f2*(f20 - Abs(f18))/f0"
0.003729 -3.633028
5.298818 -7.363237
0.281451 -1.562179
14.055634 -16.277979
0.103401 -1.641334
0.691849 -2.600792
0.074195 -3.654406
0.162783 -2.033932
0.023329 -1.319122
0.057820 -1.136307
0.275989 -1.832186
0.289514 -2.235388
0.819231 -4.510516
0.054173 -1.942177
0.150463 -1.456510
0.316186 -1.403796
0.101869 -1.686695
0.581507 -2.567973
1.033432 -4.730468
0.005060 -1.906196
0.236721 -1.561504
0.040949 -1.142795
1.227602 -2.832351
0.931476 -2.945940
2.361908 -6.077917
2.410924 -4.358483
0.909161 -2.223002
0.469872 -1.554296
0.263003 -1.838033
0.637161 -2.603200
7.852523 -11.483045
0.179876 -2.060261
0.233635 -1.535864
0.598270 -1.682296
0.212620 -1.787031
0.776430 -2.745259
3.723899 -7.399110
2.208570 -4.079964
0.995582 -2.298440
0.886969 -1.973607
0.980380 -2.542696
0.972471 -2.943462
0.643026 -4.311515
0.354173 -2.222441
0.162543 -1.459990
0.600539 -1.679750
0.403714 -1.963444
0.633157 -2.584242
0.205559 -3.897302
0.276176 -2.146655
0.118660 -1.417372
0.514729 -1.595818
0.224332 -1.794104
0.626465 -2.581933
0.326552 -4.000247
0.482887 -2.338149
0.282146 -1.569487
4.278950 -5.628643
0.464604 -2.006846
1.050073 -2.965418
0.429500 -4.031293
3.419991 -5.367059
0.169111 -1.446499
0.333731 -1.395891
0.046016 -1.579412
0.501995 -2.405934
0.024577 -3.596955
0.199193 -2.066920
0.076417 -1.368893
0.007517 -1.084348
0.477190 -2.025324
0.033455 -1.979927
1.175769 -4.839324
0.080820 -1.970668
0.199655 -1.507413
0.406954 -1.496446
0.028497 -1.616105
0.783117 -2.772673
1.166883 -4.875951
0.244210 -2.145290
0.622182 -1.951633
0.960559 -2.077995
1.599997 -3.212198
1.032198 -3.067211
2.629879 -6.359790
2.774366 -4.742984
0.866115 -2.220146
2.964971 -4.087866
3.425656 -5.072034
0.855302 -2.874833
5.070984 -8.842858
6.338029 -8.289842
0.203581 -1.507538
0.612025 -1.697193
6.031990 -7.633522
0.971353 -2.943642
6.214057 -9.879581
1.950219 -3.832795
1.329296 -2.633707
1.274894 -2.367748
1.076300 -2.643733
0.249791 -2.230706
0.743659 -4.425669
0.405317 -2.275960
0.110527 -1.410299
0.638543 -1.719391
0.462518 -2.025705
0.604725 -2.561661
0.206183 -3.913929
0.354662 -2.229938
0.067189 -1.369891
0.553350 -1.638875
0.237571 -1.815955
0.574571 -2.543020
0.439790 -4.144671
1.057294 -2.921742
1.684569 -2.973427
2.143123 -3.332139
0.952760 -2.505010
2.085371 -4.011306
0.686752 -4.324496
6.293856 -8.270010
0.182575 -1.455857
11.666184 -13.502706
0.128845 -1.655616
0.615849 -2.504389
0.019068 -3.592858
0.242308 -2.108154
0.081301 -1.373032
0.015852 -1.092237
0.467957 -2.015604
0.081047 -2.025501
1.097751 -4.756383
0.228891 -2.095167
0.067643 -1.359623
0.027123 -1.103511
0.428634 -1.977309
0.118479 -2.062293
1.061207 -4.724002
0.220917 -2.087178
0.061985 -1.353971
0.040756 -1.117177
0.393973 -1.943524
0.152393 -2.095608
1.081303 -4.745785
0.197670 -2.064612
0.024117 -1.317600
0.056956 -1.133372
0.338770 -1.889754
0.202420 -2.144752
0.938402 -4.612095
0.177896 -2.045355
0.001986 -1.296083
0.071112 -1.147604
0.280760 -1.833356
0.257959 -2.199429
0.865634 -4.545998
0.160783 -2.028643
0.022084 -1.316044
0.082354 -1.158923
0.255975 -1.809197
