Abs(f18) "f2*(f20 - Abs(f18))/f0" f1*f18**2/f2
0.859624 -2.394662 0.740529
0.400805 -2.336218 0.160799
1.985471 -5.615996 3.960748
0.495146 -2.356483 0.245482
0.108554 -1.401042 0.011781
0.172214 -1.247871 0.029671
0.808703 -2.344052 0.655297
0.363959 -2.300236 0.132580
2.192882 -5.830214 4.833664
0.070168 -1.941051 0.004924
0.109372 -1.401771 0.011959
0.294049 -1.368125 0.086531
0.767782 -2.303344 0.590592
0.353708 -2.290214 0.125213
2.149217 -5.797172 4.642513
0.390666 -2.255390 0.152772
0.097227 -1.389850 0.009451
0.129834 -1.206318 0.016851
0.754138 -2.289652 0.569766
0.350431 -2.287024 0.122903
1.832412 -5.490462 3.372198
0.003873 -1.875498 0.000015
0.093762 -1.386451 0.008789
0.196069 -1.271704 0.038463
0.737738 -2.273364 0.545230
0.347195 -2.283907 0.120643
2.117844 -5.775555 4.507562
0.389670 -2.254187 0.151993
0.087909 -1.380690 0.007726
0.007693 -1.085702 0.000059
0.720109 -2.255988 0.519459
0.340773 -2.277812 0.116219
1.763758 -5.431531 3.123694
0.388215 -2.252451 0.150859
0.084771 -1.377660 0.007185
0.483693 -1.554928 0.234251
0.691856 -2.228156 0.479459
0.327802 -2.265435 0.107537
1.712647 -5.391021 2.944897
0.036429 -1.910608 0.001327
0.168609 -1.463888 0.028414
0.513514 -1.589148 0.263270
0.120421 -1.681373 0.014506
0.563601 -2.506762 0.317131
0.504286 -4.201243 0.254673
0.016425 -1.902649 0.000270
0.342956 -1.646815 0.117498
0.387180 -1.474587 0.149730
0.138850 -1.718554 0.019287
0.481282 -2.459843 0.231312
0.894835 -4.590369 0.802771
0.450266 -2.335021 0.203008
0.249804 -1.555645 0.062449
0.083619 -1.172449 0.006994
0.672041 -2.243651 0.452535
0.329802 -2.303300 0.108666
0.908703 -4.590477 0.827877
0.176094 -2.054222 0.031025
0.263006 -1.562567 0.069117
0.542125 -1.624305 0.293406
0.161849 -1.730477 0.026208
0.695127 -2.650486 0.482242
0.134752 -3.838932 0.018165
0.106911 -1.989749 0.011434
0.350449 -1.654357 0.122680
1.328433 -2.417585 1.757194
0.137292 -1.711357 0.018841
0.681197 -2.642795 0.463082
0.141071 -3.821781 0.019909
0.647677 -2.520333 0.420378
0.324993 -1.646926 0.105504
0.793097 -1.879217 0.627258
0.212183 -1.783457 0.045053
1.019466 -2.982661 1.035891
0.207739 -3.909897 0.043184
0.166967 -2.040794 0.027894
0.365889 -1.664483 0.133697
0.836033 -1.920687 0.696757
0.193402 -1.759467 0.037430
0.280856 -3.960621 0.078954
0.213248 -2.083934 0.045512
0.299766 -1.600121 0.089751
0.916760 -2.001889 0.837215
0.185194 -1.754358 0.034272
0.726513 -2.682690 0.526352
0.091842 -3.762564 0.008432
0.096872 -1.961081 0.009380
3.696114 -4.941166 13.914264
3.482138 -4.777431 11.918353
0.159029 -1.712972 0.025271
0.714176 -2.648207 0.508383
0.003729 -3.633028 0.000014
5.298818 -7.363237 27.260789
0.281451 -1.562179 0.079080
14.055634 -16.277979 181.791727
0.103401 -1.641334 0.010686
