materials,property,E,E_tet,E_oct,A,B,C,Cation,Metal,Anion,U,ELN_A,ELN_B,ELN_X,DELNAX,DELNBX,R_AX,R_BX,U_emp,E_site,oxidation_state,E_metal,OCV
LiMn2O4,0.45235367,-383.0354932,-377.4975594,-377.9499131,8.101816969,8.520760646,8.520760646,0.76,0.52,1.4,0.38681729,0.98,1.55,3.44,6.0516,3.5721,2.16,1.92,0.398115864,-0.45235367,1,-1.906,3.63193379
NaMn2O4,0.81081816,-371.1518854,-367.1450027,-367.7852603,8.30531876,8.869822582,8.869822582,1.02,0.52,1.4,0.392196596,0.93,1.55,3.44,6.3001,3.5721,2.42,1.92,0.406465368,-0.64025763,1,-1.315,2.69188265
KMn2O4,1.12054277,-359.4234027,-355.535358,-355.4056296,9.707163378,8.801962663,8.801962663,1.38,0.52,1.4,0.385606067,0.82,1.55,3.44,6.8644,3.5721,2.78,1.92,0.415225449,0.12972835,1,-1.09375,2.79429474
MgMn2O4,0.64762653,-394.8778759,-387.4879513,-387.6457598,8.123255734,8.777084894,8.777084894,0.72,0.52,1.4,0.388442626,1.31,1.55,3.44,4.5369,3.5721,2.12,1.92,0.396600381,-0.15780856,2,-1.595,2.89746232
CaMn2O4,0.9716241,-401.8806184,-393.3313979,-394.1427679,8.253309051,9.228620755,9.228620755,0.99,0.52,1.4,0.392056199,1,1.55,3.44,5.9536,3.5721,2.39,1.92,0.405610323,-0.81136995,2,-2,3.274610225
AlMn2O4,0.85834445,-405.8161462,-410.6496031,-410.7800866,8.383877836,8.394682233,8.394682233,0.53,0.52,1.4,0.388730094,1.61,1.55,3.44,3.3489,3.5721,1.93,1.92,0.388121153,-0.13048353,3,-3.75,-2.861152283
LiFe2O4,0.24557218,-343.2128627,-336.6519075,-336.7442382,8.194715028,8.556685334,8.556685334,0.76,0.56,1.4,0.388161395,0.98,1.83,3.44,6.0516,2.5921,2.16,1.96,0.396040113,-0.0923307,1,-1.906,4.65495525
NaFe2O4,0.46550206,-331.8312828,-326.7464046,-326.8547415,8.480943933,8.873474911,8.873474911,1.02,0.56,1.4,0.395273243,0.93,1.83,3.44,6.3001,2.5921,2.42,1.96,0.404346084,-0.10833688,1,-1.315,3.76987823
KFe2O4,3.47510267,-319.8007477,-315.792679,-319.258577,9.037529341,9.197333091,9.197333091,1.38,0.56,1.4,0.402826177,0.82,1.83,3.44,6.8644,2.5921,2.78,1.96,0.41306049,-3.46589798,1,-1.09375,2.91431874
MgFe2O4,0.49885042,-362.4497192,-353.1535627,-352.9380991,8.559539284,8.534670564,8.534670564,0.72,0.56,1.4,0.385521645,1.31,1.83,3.44,4.5369,2.5921,2.12,1.96,0.394532532,0.21546366,2,-1.595,3.85057826
CaFe2O4,0.68705756,-368.8640194,-358.7286506,-358.996079,8.922884021,8.847790835,8.847790835,0.99,0.56,1.4,0.393378354,1,1.83,3.44,5.9536,2.5921,2.39,1.96,0.403495496,-0.26742837,2,-2,4.06768439
AlFe2O4,1.61169869,-385.5959723,-377.0408553,-376.7802004,8.345096679,8.376296122,8.376296122,0.53,0.56,1.4,0.376900744,1.61,1.83,3.44,3.3489,2.5921,1.93,1.96,0.386097514,0.26065495,3,-3.75,1.601705657
LiCo2O4,0.39001651,-314.1872555,-308.5308234,-308.5852939,7.765018543,8.601859905,8.601859905,0.76,0.53,1.4,0.388050037,0.98,1.88,3.44,6.0516,2.4336,2.16,1.93,0.397581291,-0.05447043,1,-1.906,3.75043206
NaCo2O4,0.28539681,-302.7175476,-298.4484843,-298.3685849,7.841570833,9.048050085,9.048050085,1.02,0.53,1.4,0.391462177,0.93,1.88,3.44,6.3001,2.4336,2.42,1.93,0.405919584,0.0798994,1,-1.315,2.95406327
KCo2O4,4.4771479,-291.5371204,-289.6416214,-293.6760999,7.917862841,9.658410478,9.658410478,1.38,0.53,1.4,0.392081459,0.82,1.88,3.44,6.8644,2.4336,2.78,1.93,0.414667902,-4.03447852,1,-1.09375,0.80174902
MgCo2O4,0.47040762,-329.7041365,-321.9700654,-321.7973114,7.934932825,8.647993406,8.647993406,0.72,0.53,1.4,0.382920883,1.31,1.88,3.44,4.5369,2.4336,2.12,1.93,0.396067843,0.17275407,2,-1.595,3.069535535
AlCo2O4,2.11973859,-361.0460864,-349.5379664,-351.0664399,8.188693822,8.159242769,8.159242769,0.53,0.53,1.4,0.388900789,1.61,1.88,3.44,3.3489,2.4336,1.93,1.93,0.3876,-1.52847352,3,-3.75,2.586040007
LiNi2O4,0.31073484,-264.9269162,-258.495766,-258.7727649,7.896692092,8.208618476,8.208618476,0.76,0.49,1.4,0.388961398,0.98,1.91,3.44,6.0516,2.3409,2.16,1.89,0.39978816,-0.27699891,1,-1.906,4.52515021
NaNi2O4,0.83579971,-251.1104632,-247.1471588,-247.3611483,8.776786577,8.31523074,8.31523074,1.02,0.49,1.4,0.394544186,0.93,1.91,3.44,6.3001,2.3409,2.42,1.89,0.408172736,-0.21398948,1,-1.315,2.64830446
KNi2O4,0.02620017,-239.082235,-235.3842604,-235.4104606,9.041821664,8.997141246,8.997141246,1.38,0.49,1.4,0.384717391,0.82,1.91,3.44,6.8644,2.3409,2.78,1.89,0.416969614,-0.02620017,1,-1.09375,2.60422459
MgNi2O4,0.56723279,-280.2841989,-272.0226866,-272.1462109,7.854162977,8.515124992,8.515124992,0.72,0.49,1.4,0.386713781,1.31,1.91,3.44,4.5369,2.3409,2.12,1.89,0.398266311,-0.12352431,2,-1.595,3.333256175
AlNi2O4,1.29388837,-316.9507066,-303.9886145,-304.3627049,8.369931154,8.113261249,8.113261249,0.53,0.49,1.4,0.375451347,1.61,1.91,3.44,3.3489,2.3409,1.93,1.89,0.389751465,-0.37409037,3,-3.75,3.070697363
LiCu2O4,0.27589376,-272.895105,-266.3100476,-266.0536476,8.28423837,8.28423837,8.28423837,0.76,0.57,1.4,0.387763757,0.98,1.9,3.44,6.0516,2.3716,2.16,1.97,0.395545954,0.25639994,1,-1.906,4.67905748
NaCu2O4,0.21436214,-261.2982451,-256.24054,-256.2949687,8.621609085,8.621609085,8.621609085,1.02,0.57,1.4,0.395613367,0.93,1.9,3.44,6.3001,2.3716,2.42,1.97,0.403841561,-0.0544287,1,-1.315,3.74270509
KCu2O4,0.29002492,-250.1211222,-246.6091233,-246.881992,9.044829616,9.044829616,9.044829616,1.38,0.57,1.4,0.40343796,0.82,1.9,3.44,6.8644,2.3716,2.78,1.97,0.412545094,-0.27286873,1,-1.09375,2.41824893
MgCu2O4,0.47297641,-286.988209,-279.0510068,-279.1205085,8.41366818,8.41366818,8.41366818,0.72,0.57,1.4,0.386134342,1.31,1.9,3.44,4.5369,2.3716,2.12,1.97,0.394040254,-0.06950173,2,-1.595,3.17110112
